,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,138.52M ,47.97M ,42.48M ,46.84M ,18.68M ,22.10M 
Enterprise Value,128.58M ,33.88M ,22.76M ,20.15M ,-23.74M ,-40.27M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,15.38 ,5.30 ,5.65 ,7.55 ,1.60 ,1.51 
Price/Book,5.91 ,1.61 ,1.24 ,1.17 ,0.25 ,0.22 
Enterprise Value/Revenue,16.55 ,3.88 ,3.12 ,3.28 ,-31.82 ,-22.04 
Enterprise Value/EBITDA,0.43 ,-- ,-- ,-- ,1.61 ,2.20 
