,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,373.59B ,390.12B ,351.76B ,381.20B ,377.32B ,375.05B 
Enterprise Value,389.04B ,406.13B ,359.17B ,387.61B ,383.73B ,392.15B 
Trailing P/E,25.65 ,24.52 ,21.72 ,30.42 ,29.41 ,31.59 
Forward P/E,14.51 ,14.90 ,13.76 ,14.86 ,14.66 ,14.18 
PEG Ratio (5yr expected),0.92 ,0.95 ,0.88 ,0.97 ,1.65 ,5.14 
Price/Sales,4.30 ,4.60 ,4.29 ,4.76 ,4.16 ,4.21 
Price/Book,5.32 ,5.45 ,5.02 ,5.54 ,5.30 ,4.99 
Enterprise Value/Revenue,4.44 ,4.69 ,4.19 ,4.55 ,3.89 ,4.36 
Enterprise Value/EBITDA,15.15 ,14.75 ,12.74 ,16.62 ,15.56 ,24.98 
