,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,86.16B ,78.24B ,74.92B ,71.35B ,74.62B ,80.44B 
Enterprise Value,109.39B ,99.67B ,97.47B ,94.91B ,100.94B ,101.92B 
Trailing P/E,8.71 ,9.53 ,9.54 ,8.23 ,11.07 ,14.57 
Forward P/E,9.64 ,8.97 ,8.73 ,8.10 ,8.22 ,9.20 
PEG Ratio (5yr expected),4.04 ,4.19 ,-- ,-- ,-- ,-- 
Price/Sales,4.36 ,3.94 ,3.78 ,3.50 ,3.64 ,3.94 
Price/Book,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/Revenue,5.39 ,4.87 ,4.75 ,4.62 ,4.88 ,4.94 
Enterprise Value/EBITDA,7.31 ,7.88 ,7.89 ,7.77 ,10.43 ,11.99 
