,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,13.60B ,14.42B ,11.78B ,15.53B ,15.42B ,13.91B 
Enterprise Value,14.75B ,15.76B ,13.01B ,16.83B ,16.67B ,15.32B 
Trailing P/E,30.69 ,31.66 ,23.99 ,30.22 ,28.73 ,23.50 
Forward P/E,29.67 ,30.67 ,28.49 ,29.67 ,26.95 ,23.42 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.58 ,2.71 ,2.19 ,2.84 ,2.77 ,2.42 
Price/Book,9.50 ,10.13 ,8.75 ,11.83 ,10.78 ,9.44 
Enterprise Value/Revenue,2.77 ,2.94 ,2.38 ,3.04 ,2.96 ,2.65 
Enterprise Value/EBITDA,21.71 ,22.62 ,17.33 ,21.39 ,20.49 ,17.36 
