,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,21.99B ,15.05B ,14.03B ,12.39B ,13.18B ,13.82B 
Enterprise Value,16.66B ,10.92B ,10.33B ,8.14B ,9.16B ,10.02B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,75.76 ,95.24 ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,7.37 ,5.78 ,5.59 ,5.18 ,5.91 ,6.91 
Price/Book,3.16 ,2.40 ,2.24 ,1.92 ,2.11 ,2.17 
Enterprise Value/Revenue,5.50 ,4.23 ,4.15 ,3.45 ,4.15 ,5.07 
Enterprise Value/EBITDA,121.06 ,295.10 ,-- ,-- ,145.45 ,-358.02 
