,Current,9/30/2024,6/30/2024,3/31/2024
Market Cap,16.22B ,8.31B ,9.42B ,11.53B 
Enterprise Value,15.39B ,7.48B ,8.62B ,11.39B 
Trailing P/E,-- ,-- ,-- ,-- 
Forward P/E,98.04 ,60.24 ,136.99 ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- 
Price/Sales,53.05 ,35.75 ,57.58 ,83.58 
Price/Book,18.24 ,9.83 ,11.72 ,-- 
Enterprise Value/Revenue,50.35 ,32.58 ,52.77 ,98.34 
Enterprise Value/EBITDA,-392.01 ,-- ,-- ,-135.60 
