,Current
Market Cap,9.00M 
Enterprise Value,10.65M 
Trailing P/E,-- 
Forward P/E,-- 
PEG Ratio (5yr expected),-- 
Price/Sales,2.86 
Price/Book,14.79 
Enterprise Value/Revenue,3.38 
Enterprise Value/EBITDA,-- 
