,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,15.52B ,10.52B ,8.71B ,7.12B ,6.44B 
Enterprise Value,16.45B ,11.33B ,9.43B ,7.82B ,6.66B 
Trailing P/E,63.38 ,55.67 ,51.91 ,64.89 ,37.64 
Forward P/E,22.83 ,19.68 ,17.54 ,15.36 ,-- 
PEG Ratio (5yr expected),1.90 ,-- ,-- ,-- ,-- 
Price/Sales,3.27 ,2.35 ,2.04 ,1.79 ,1.68 
Price/Book,9.43 ,6.68 ,5.89 ,4.67 ,3.45 
Enterprise Value/Revenue,3.45 ,2.54 ,2.22 ,1.97 ,1.73 
Enterprise Value/EBITDA,29.00 ,23.34 ,21.33 ,22.87 ,18.50 
