,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,111.48B ,88.18B ,103.47B ,109.13B ,104.54B ,113.56B 
Enterprise Value,133.74B ,110.23B ,124.55B ,129.78B ,125.29B ,134.62B 
Trailing P/E,29.71 ,21.45 ,24.44 ,26.82 ,27.83 ,32.16 
Forward P/E,30.77 ,19.42 ,22.37 ,23.20 ,22.42 ,24.33 
PEG Ratio (5yr expected),1.99 ,1.33 ,1.27 ,1.31 ,1.26 ,1.37 
Price/Sales,3.09 ,2.44 ,2.86 ,3.07 ,3.00 ,3.36 
Price/Book,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/Revenue,3.70 ,3.02 ,3.40 ,3.61 ,3.58 ,3.96 
Enterprise Value/EBITDA,18.77 ,14.66 ,16.18 ,17.53 ,18.22 ,20.36 
