,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,90.84B ,80.41B ,88.97B ,58.54B ,48.40B ,38.49B 
Enterprise Value,110.81B ,100.06B ,107.59B ,77.69B ,68.03B ,60.18B 
Trailing P/E,23.83 ,23.25 ,-- ,22.96 ,25.73 ,19.89 
Forward P/E,13.39 ,14.60 ,-- ,11.82 ,9.74 ,9.71 
PEG Ratio (5yr expected),0.70 ,1.34 ,-- ,3.90 ,9.93 ,7.71 
Price/Sales,1.03 ,0.93 ,-- ,0.67 ,0.53 ,0.40 
Price/Book,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/Revenue,1.21 ,1.11 ,1.22 ,0.85 ,0.73 ,0.62 
Enterprise Value/EBITDA,12.68 ,11.74 ,12.32 ,9.27 ,8.96 ,8.17 
