,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,10.46M ,41.97M ,64.99M ,79.96M ,68.73M ,75.62M 
Enterprise Value,21.99M ,57.32M ,76.85M ,90.25M ,74.93M ,79.06M 
Trailing P/E,-- ,-- ,-- ,-- ,0.76 ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.12 ,0.40 ,0.72 ,0.91 ,1.25 ,1.04 
Price/Book,4.40 ,-- ,-- ,48.76 ,17.68 ,15.17 
Enterprise Value/Revenue,0.29 ,0.67 ,0.89 ,1.08 ,0.95 ,1.09 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,21.74 ,-1.36k 
