,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,1.42B ,1.42B ,1.27B ,2.09B ,3.00B ,1.74B 
Enterprise Value,3.12B ,3.07B ,2.72B ,3.55B ,4.63B ,3.60B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.28 ,0.30 ,0.25 ,0.29 ,0.32 ,0.15 
Price/Book,1.78 ,1.68 ,1.43 ,2.16 ,2.98 ,1.63 
Enterprise Value/Revenue,0.63 ,0.68 ,0.54 ,0.51 ,0.52 ,0.32 
Enterprise Value/EBITDA,-5.85 ,-- ,-- ,394.70 ,-125.24 ,-76.62 
