,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,941.06M ,1.25B ,1.17B ,1.20B ,1.52B ,1.84B 
Enterprise Value,1.49B ,1.67B ,1.60B ,1.84B ,2.05B ,2.19B 
Trailing P/E,24.17 ,31.09 ,33.44 ,31.36 ,39.56 ,34.19 
Forward P/E,8.77 ,11.12 ,9.95 ,9.62 ,10.89 ,12.90 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.99 ,1.35 ,1.34 ,1.33 ,1.69 ,2.05 
Price/Book,3.72 ,4.11 ,3.99 ,4.37 ,5.34 ,5.19 
Enterprise Value/Revenue,1.55 ,1.72 ,1.71 ,1.97 ,2.25 ,2.38 
Enterprise Value/EBITDA,7.92 ,9.44 ,10.06 ,11.49 ,12.88 ,12.36 
