,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,13.31B ,16.96B ,12.29B ,15.06B ,15.04B ,12.81B 
Enterprise Value,19.50B ,23.23B ,19.66B ,21.92B ,22.29B ,20.30B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,14.58 ,18.59 ,18.80 ,20.92 ,22.57 ,19.68 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.85 ,1.06 ,0.76 ,0.93 ,0.92 ,0.78 
Price/Book,1.50 ,1.94 ,1.38 ,1.66 ,1.62 ,1.34 
Enterprise Value/Revenue,1.27 ,1.49 ,1.25 ,1.39 ,1.39 ,1.25 
Enterprise Value/EBITDA,16.83 ,22.74 ,19.64 ,27.10 ,31.46 ,29.19 
