,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,590.27M ,717.69M ,517.83M ,355.18M ,265.63M ,344.11M 
Enterprise Value,505.72M ,621.76M ,403.33M ,214.55M ,107.14M ,148.40M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.64 ,3.70 ,2.77 ,1.73 ,1.25 ,1.56 
Price/Book,23.10 ,16.69 ,7.48 ,4.09 ,2.50 ,2.40 
Enterprise Value/Revenue,2.71 ,3.20 ,2.16 ,1.04 ,0.51 ,0.67 
Enterprise Value/EBITDA,-4.62 ,-- ,-- ,-7.30 ,-7.34 ,-8.37 
