,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,30.04B ,30.62B ,36.81B ,41.57B ,47.65B ,47.38B 
Enterprise Value,20.71B ,18.13B ,21.69B ,26.97B ,34.11B ,35.20B 
Trailing P/E,11.33 ,11.62 ,13.81 ,19.78 ,22.92 ,25.70 
Forward P/E,8.34 ,8.73 ,10.11 ,10.91 ,13.68 ,14.47 
PEG Ratio (5yr expected),2.67 ,1.80 ,1.70 ,1.60 ,1.81 ,0.65 
Price/Sales,1.63 ,1.65 ,2.00 ,2.28 ,2.65 ,2.78 
Price/Book,0.86 ,0.89 ,1.10 ,1.22 ,1.46 ,1.51 
Enterprise Value/Revenue,1.11 ,0.98 ,1.17 ,1.47 ,1.90 ,2.02 
Enterprise Value/EBITDA,5.42 ,4.78 ,3.14 ,7.94 ,10.31 ,12.13 
