,Current,9/30/2024,6/30/2024
Market Cap,369.00M ,336.60M ,72.34M 
Enterprise Value,319.70M ,310.64M ,80.38M 
Trailing P/E,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- 
Price/Sales,212.52 ,191.01 ,64.66 
Price/Book,6.57 ,11.99 ,-- 
Enterprise Value/Revenue,190.37 ,204.32 ,72.15 
Enterprise Value/EBITDA,-- ,-- ,-- 
