,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,43.32B ,29.87B ,24.30B ,13.77B ,12.20B ,9.70B 
Enterprise Value,61.11B ,47.70B ,37.97B ,26.58B ,25.81B ,24.04B 
Trailing P/E,92.71 ,52.75 ,19.46 ,9.87 ,9.37 ,-- 
Forward P/E,17.27 ,17.70 ,16.84 ,9.71 ,8.36 ,8.53 
PEG Ratio (5yr expected),0.70 ,0.74 ,2.05 ,-- ,-- ,-- 
Price/Sales,3.24 ,2.34 ,1.77 ,0.90 ,0.79 ,0.66 
Price/Book,13.90 ,9.39 ,8.58 ,3.86 ,3.58 ,3.03 
Enterprise Value/Revenue,4.35 ,3.56 ,2.57 ,1.71 ,1.55 ,1.60 
Enterprise Value/EBITDA,17.43 ,12.48 ,8.30 ,6.15 ,5.63 ,10.63 
