,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,283.87M ,48.35M ,13.62M ,5.83M ,8.63M ,8.09M 
Enterprise Value,279.62M ,38.21M ,6.11M ,-18.39M ,-10.90M ,6.21M 
Trailing P/E,143.71 ,-- ,185.50 ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,4.49 ,-- ,0.25 ,0.14 ,0.22 ,0.23 
Price/Book,55.08 ,-- ,3.87 ,1.89 ,3.15 ,3.55 
Enterprise Value/Revenue,4.56 ,-- ,0.11 ,-0.75 ,-1.23 ,0.19 
Enterprise Value/EBITDA,75.06 ,-- ,2.95 ,-23.10 ,-13.85 ,7.60 
