,Current,8/31/2024,5/31/2024,2/29/2024,11/30/2023,8/31/2023
Market Cap,1.21B ,1.44B ,1.50B ,1.34B ,1.33B ,2.14B 
Enterprise Value,1.32B ,1.57B ,1.75B ,1.61B ,1.42B ,2.28B 
Trailing P/E,57.50 ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,1.30 ,1.61 ,1.73 ,1.54 ,2.01 ,2.90 
Price/Book,0.35 ,0.42 ,0.45 ,0.40 ,0.39 ,0.65 
Enterprise Value/Revenue,1.62 ,1.99 ,2.36 ,2.30 ,2.19 ,3.64 
Enterprise Value/EBITDA,-4.84 ,-- ,-- ,-24.19 ,-151.76 ,-286.21 
