,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,2.75B ,2.59B ,2.83B ,2.94B ,3.26B ,5.54B 
Enterprise Value,11.68B ,12.62B ,12.80B ,12.91B ,13.33B ,15.82B 
Trailing P/E,6.72 ,-- ,-- ,-- ,49.55 ,18.52 
Forward P/E,6.67 ,-- ,-- ,-- ,-- ,11.15 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,3.81 ,3.26 ,3.23 ,2.14 ,2.30 ,3.74 
Price/Book,0.45 ,0.39 ,0.37 ,0.36 ,0.39 ,0.66 
Enterprise Value/Revenue,16.17 ,15.92 ,14.68 ,9.39 ,9.39 ,10.67 
Enterprise Value/EBITDA,12.01 ,-- ,18.35 ,23.27 ,20.39 ,21.16 
