,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,12.60B ,12.74B ,16.14B ,15.69B ,16.10B ,19.21B 
Enterprise Value,38.10B ,37.60B ,39.44B ,37.91B ,38.01B ,39.77B 
Trailing P/E,7.67 ,5.89 ,7.36 ,7.04 ,7.03 ,9.00 
Forward P/E,9.06 ,6.78 ,8.15 ,7.22 ,6.71 ,8.35 
PEG Ratio (5yr expected),-- ,-- ,-- ,4.91 ,1.92 ,2.39 
Price/Sales,0.59 ,0.56 ,0.71 ,0.67 ,0.67 ,0.81 
Price/Book,1.63 ,1.61 ,2.01 ,1.97 ,2.15 ,2.62 
Enterprise Value/Revenue,1.75 ,1.56 ,1.60 ,1.53 ,1.54 ,1.64 
Enterprise Value/EBITDA,9.55 ,8.31 ,8.55 ,8.28 ,8.48 ,9.40 
