,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,4.21B ,2.36B ,2.82B ,2.21B ,2.05B ,1.30B 
Enterprise Value,4.03B ,2.19B ,2.65B ,2.06B ,1.90B ,1.17B 
Trailing P/E,130.00 ,82.61 ,126.39 ,168.91 ,297.50 ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,6.12 ,3.67 ,4.63 ,3.81 ,3.67 ,2.45 
Price/Book,9.32 ,5.37 ,6.57 ,5.30 ,5.03 ,3.26 
Enterprise Value/Revenue,5.76 ,3.36 ,4.31 ,3.54 ,3.41 ,2.22 
Enterprise Value/EBITDA,60.49 ,36.91 ,54.43 ,52.32 ,60.37 ,50.46 
