,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,12.31B ,9.66B ,3.40B ,4.35B ,4.21B ,6.78B 
Enterprise Value,8.64B ,9.17B ,2.80B ,3.75B ,3.65B ,6.12B 
Trailing P/E,196.93 ,283.38 ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,1.97 ,1.41 ,-- ,0.76 ,0.72 ,1.17 
Price/Book,2.81 ,7.39 ,2.54 ,3.44 ,3.32 ,5.33 
Enterprise Value/Revenue,1.90 ,1.86 ,0.53 ,0.66 ,0.63 ,1.06 
Enterprise Value/EBITDA,319.98 ,245.14 ,105.63 ,441.43 ,-1.07k ,-1.53k 
