,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,3.22T ,3.32T ,3.13T ,2.79T ,2.35T ,2.53T 
Enterprise Value,3.20T ,3.32T ,3.13T ,2.74T ,2.29T ,2.49T 
Trailing P/E,35.72 ,38.73 ,38.04 ,36.44 ,32.62 ,36.89 
Forward P/E,32.89 ,33.33 ,31.55 ,33.67 ,28.65 ,30.86 
PEG Ratio (5yr expected),2.35 ,2.20 ,2.13 ,2.24 ,2.33 ,2.51 
Price/Sales,12.71 ,14.11 ,13.80 ,12.86 ,11.13 ,12.27 
Price/Book,11.18 ,13.12 ,13.12 ,12.66 ,11.38 ,13.00 
Enterprise Value/Revenue,12.58 ,14.04 ,13.77 ,12.53 ,10.83 ,11.98 
Enterprise Value/EBITDA,22.98 ,26.00 ,25.91 ,24.43 ,21.82 ,24.62 
