,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,199.47B ,225.26B ,213.07B ,213.53B ,211.32B ,199.00B 
Enterprise Value,236.79B ,265.25B ,255.84B ,252.64B ,250.59B ,242.07B 
Trailing P/E,11.63 ,13.22 ,11.76 ,7.81 ,7.83 ,5.01 
Forward P/E,8.26 ,8.29 ,8.64 ,7.62 ,8.03 ,6.26 
PEG Ratio (5yr expected),2.47 ,2.87 ,2.99 ,-- ,-- ,-- 
Price/Sales,0.71 ,0.80 ,0.72 ,0.67 ,0.64 ,0.57 
Price/Book,1.09 ,1.22 ,1.16 ,1.12 ,1.12 ,1.05 
Enterprise Value/Revenue,0.78 ,0.88 ,0.81 ,0.74 ,0.70 ,0.63 
Enterprise Value/EBITDA,3.52 ,4.09 ,3.73 ,3.35 ,3.56 ,2.67 
