,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,29.72M ,29.46M ,73.81M ,93.92M ,88.18M ,178.87M 
Enterprise Value,42.14M ,39.07M ,76.98M ,64.28M ,35.36M ,109.61M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,1.80 ,1.49 ,3.71 ,5.43 ,6.57 ,21.12 
Price/Book,0.50 ,0.44 ,0.93 ,0.91 ,0.99 ,1.71 
Enterprise Value/Revenue,4.33 ,2.49 ,5.88 ,5.30 ,3.32 ,16.36 
Enterprise Value/EBITDA,-0.62 ,-- ,-- ,-1.48 ,-1.77 ,-4.81 
