,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,4.29B ,3.60B ,3.61B ,3.77B ,4.63B ,4.48B 
Enterprise Value,3.61B ,2.81B ,2.72B ,2.77B ,3.55B ,3.31B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,3.46k ,3.15k ,3.22k ,3.37k ,-- ,-- 
Price/Book,5.50 ,4.03 ,3.73 ,3.65 ,4.19 ,4.13 
Enterprise Value/Revenue,3.25k ,2.59k ,2.57k ,2.68k ,3.44k ,-- 
Enterprise Value/EBITDA,-9.19 ,-- ,-- ,-20.13 ,-29.54 ,-27.47 
