,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,11.21B ,8.64B ,9.35B ,13.06B ,9.99B ,9.05B 
Enterprise Value,9.78B ,7.22B ,7.98B ,11.72B ,8.88B ,8.06B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.96 ,2.35 ,2.65 ,3.83 ,3.07 ,2.83 
Price/Book,4.69 ,3.67 ,4.04 ,5.70 ,3.97 ,3.55 
Enterprise Value/Revenue,2.61 ,1.99 ,2.29 ,3.48 ,2.76 ,2.57 
Enterprise Value/EBITDA,-13.40 ,-- ,-450.16 ,-251.21 ,-30.27 ,-111.69 
