,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,1.85M ,2.31M ,2.47M ,3.90M ,3.51M ,5.95M 
Enterprise Value,3.75M ,1.84M ,1.90M ,1.28M ,-2.03M ,1.89M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.35 ,-- ,0.59 ,0.96 ,1.10 ,2.94 
Price/Book,9.00 ,-- ,4.55 ,1.63 ,4.25 ,2.41 
Enterprise Value/Revenue,1.11 ,-- ,0.65 ,0.53 ,-2.15 ,1.80 
Enterprise Value/EBITDA,-0.13 ,-- ,-- ,-0.43 ,0.63 ,-0.45 
