,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,3.04M ,5.97M ,5.62M ,12.52M ,18.40M ,25.18M 
Enterprise Value,11.08M ,14.45M ,12.52M ,19.43M ,21.20M ,29.13M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.04 ,0.23 ,0.25 ,0.66 ,0.87 ,1.03 
Price/Book,0.38 ,0.66 ,0.26 ,0.44 ,0.48 ,0.60 
Enterprise Value/Revenue,0.81 ,1.06 ,0.82 ,1.27 ,1.23 ,1.51 
Enterprise Value/EBITDA,-1.00 ,-- ,-- ,-0.82 ,-3.21 ,-7.30 
