,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,15.30B ,25.73B ,45.51B ,40.80B ,37.92B ,39.31B 
Enterprise Value,9.79B ,18.51B ,38.22B ,33.44B ,31.80B ,32.02B 
Trailing P/E,7.06 ,-- ,-- ,-- ,-- ,35.86 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,3.01 ,5.10 ,8.90 ,6.03 ,4.25 ,3.87 
Price/Book,1.28 ,2.20 ,3.56 ,2.95 ,2.82 ,2.32 
Enterprise Value/Revenue,1.94 ,3.71 ,7.52 ,4.95 ,3.50 ,3.04 
Enterprise Value/EBITDA,4.64 ,-- ,-- ,-29.78 ,114.39 ,26.22 
