,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,71.56M ,117.91M ,65.20M ,203.89M ,106.87M ,112.28M 
Enterprise Value,36.12M ,69.49M ,22.08M ,141.09M ,36.31M ,24.26M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.03 ,0.04 ,0.05 ,0.33 ,0.28 ,1.73 
Price/Book,1.50 ,2.07 ,1.40 ,3.05 ,1.28 ,1.26 
Enterprise Value/Revenue,0.02 ,0.04 ,0.03 ,0.24 ,0.09 ,0.44 
Enterprise Value/EBITDA,0.79 ,-- ,-- ,-6.84 ,-1.38 ,-0.81 
