,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,2.45B ,2.28B ,2.07B ,2.52B ,1.85B ,1.53B 
Enterprise Value,7.28B ,6.78B ,6.16B ,6.34B ,5.14B ,4.31B 
Trailing P/E,13.78 ,-- ,-- ,-- ,-- ,46.00 
Forward P/E,56.18 ,-- ,-- ,-- ,55.56 ,7.35 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.26 ,0.24 ,0.22 ,0.26 ,0.19 ,0.15 
Price/Book,0.93 ,0.84 ,0.80 ,0.76 ,0.55 ,0.43 
Enterprise Value/Revenue,0.78 ,0.73 ,0.65 ,0.66 ,0.53 ,0.44 
Enterprise Value/EBITDA,1.82k ,-- ,560.04 ,12.75 ,8.81 ,5.09 
