,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,16.87M ,22.79M ,34.78M ,56.73M ,101.82M ,100.76M 
Enterprise Value,137.07M ,137.09M ,153.38M ,175.32M ,213.85M ,196.40M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.06 ,0.08 ,0.10 ,0.21 ,0.36 ,0.38 
Price/Book,6.62 ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/Revenue,0.58 ,0.56 ,0.65 ,0.75 ,0.93 ,0.88 
Enterprise Value/EBITDA,-4.90 ,-- ,-- ,30.05 ,-1.46k ,-26.81 
