,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,2.64B ,2.91B ,2.46B ,3.12B ,3.40B ,3.28B 
Enterprise Value,1.90B ,2.07B ,1.55B ,2.15B ,2.38B ,2.48B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,-- ,-- ,-- ,-- ,-- ,-- 
Price/Book,2.38 ,2.47 ,1.97 ,2.35 ,2.43 ,2.75 
Enterprise Value/Revenue,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/EBITDA,-7.22 ,-- ,-- ,-20.25 ,-23.77 ,-25.70 
