,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,52.25B ,41.38B ,39.79B ,52.08B ,47.50B ,27.00B 
Enterprise Value,46.86B ,36.70B ,34.79B ,49.13B ,43.70B ,23.09B 
Trailing P/E,50.48 ,62.16 ,107.48 ,4.23k ,-- ,-- 
Forward P/E,17.33 ,14.41 ,19.38 ,26.18 ,28.33 ,17.99 
PEG Ratio (5yr expected),0.47 ,0.53 ,0.71 ,1.29 ,2.18 ,1.38 
Price/Sales,2.25 ,1.80 ,1.74 ,2.37 ,2.25 ,1.35 
Price/Book,2.62 ,2.14 ,2.10 ,2.79 ,2.67 ,1.53 
Enterprise Value/Revenue,1.96 ,1.73 ,1.52 ,2.24 ,2.10 ,1.17 
Enterprise Value/EBITDA,25.11 ,22.11 ,31.96 ,62.16 ,169.23 ,140.45 
