,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,35.77B ,37.18B ,39.72B ,38.13B ,40.91B ,51.04B 
Enterprise Value,41.06B ,42.35B ,44.44B ,42.89B ,45.74B ,55.60B 
Trailing P/E,19.58 ,18.20 ,21.47 ,20.09 ,23.02 ,30.30 
Forward P/E,18.62 ,19.16 ,20.28 ,18.25 ,19.42 ,26.32 
PEG Ratio (5yr expected),3.73 ,3.42 ,3.76 ,2.96 ,2.55 ,4.29 
Price/Sales,3.28 ,3.30 ,3.58 ,3.44 ,3.80 ,4.79 
Price/Book,8.92 ,9.05 ,9.60 ,9.60 ,11.07 ,14.76 
Enterprise Value/Revenue,3.73 ,3.71 ,3.98 ,3.84 ,4.21 ,5.18 
Enterprise Value/EBITDA,14.61 ,14.16 ,16.14 ,15.45 ,17.72 ,21.97 
