,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,9.29B ,10.89B ,14.92B ,21.01B ,17.37B ,17.41B 
Enterprise Value,18.58B ,20.39B ,24.24B ,30.64B ,27.09B ,27.23B 
Trailing P/E,8.30 ,8.58 ,12.12 ,17.09 ,15.07 ,15.62 
Forward P/E,8.31 ,9.13 ,12.71 ,16.72 ,13.79 ,15.11 
PEG Ratio (5yr expected),0.83 ,1.31 ,1.35 ,1.37 ,1.13 ,1.51 
Price/Sales,1.19 ,1.22 ,1.68 ,2.39 ,1.98 ,2.01 
Price/Book,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/Revenue,2.09 ,2.27 ,2.71 ,3.42 ,3.02 ,3.04 
Enterprise Value/EBITDA,7.14 ,7.91 ,9.54 ,11.80 ,10.81 ,10.83 
