,Current
Market Cap,12.90M 
Enterprise Value,12.92M 
Trailing P/E,-- 
Forward P/E,-- 
PEG Ratio (5yr expected),-- 
Price/Sales,3.66 
Price/Book,-- 
Enterprise Value/Revenue,3.68 
Enterprise Value/EBITDA,-- 
