,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,2.12T ,2.04T ,2.26T ,1.88T ,1.76T ,1.66T 
Enterprise Value,2.05T ,1.97T ,2.18T ,1.80T ,1.66T ,1.57T 
Trailing P/E,22.88 ,23.79 ,27.94 ,26.02 ,26.76 ,27.67 
Forward P/E,19.30 ,18.94 ,24.21 ,22.27 ,20.96 ,19.57 
PEG Ratio (5yr expected),1.07 ,1.12 ,1.64 ,1.58 ,1.32 ,1.24 
Price/Sales,6.35 ,6.36 ,7.24 ,6.25 ,6.02 ,5.83 
Price/Book,6.72 ,6.76 ,7.66 ,6.59 ,6.37 ,6.14 
Enterprise Value/Revenue,6.04 ,6.00 ,6.85 ,5.86 ,5.60 ,5.41 
Enterprise Value/EBITDA,16.20 ,17.05 ,20.01 ,18.39 ,17.83 ,17.67 
