,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,17.34B ,19.77B ,18.45B ,12.41B ,9.64B ,8.89B 
Enterprise Value,17.39B ,19.85B ,18.58B ,13.10B ,10.51B ,10.01B 
Trailing P/E,16.49 ,19.01 ,19.71 ,13.47 ,10.42 ,9.14 
Forward P/E,16.84 ,19.61 ,18.69 ,13.30 ,10.33 ,10.42 
PEG Ratio (5yr expected),2.05 ,2.10 ,2.14 ,2.24 ,1.84 ,1.76 
Price/Sales,2.35 ,2.62 ,2.42 ,1.60 ,1.21 ,1.10 
Price/Book,7.71 ,8.95 ,8.67 ,6.84 ,5.94 ,6.06 
Enterprise Value/Revenue,2.29 ,2.59 ,2.40 ,1.65 ,1.27 ,1.17 
Enterprise Value/EBITDA,10.72 ,12.39 ,12.58 ,8.86 ,6.99 ,6.28 
