,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,15.12B ,8.52B ,6.99B ,7.71B ,9.54B ,7.59B 
Enterprise Value,-- ,-- ,-- ,-- ,-- ,-- 
Trailing P/E,116.08 ,-- ,-- ,-- ,-- ,-- 
Forward P/E,66.23 ,32.79 ,73.53 ,104.17 ,181.82 ,769.23 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,5.90 ,3.38 ,2.90 ,3.27 ,4.74 ,4.00 
Price/Book,2.47 ,1.44 ,1.21 ,1.47 ,1.92 ,1.46 
Enterprise Value/Revenue,7.42 ,5.05 ,4.64 ,6.35 ,8.26 ,7.85 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,-- ,-- 
