,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,247.38M ,218.08M ,194.92M ,247.65M ,79.78M ,87.30M 
Enterprise Value,123.10M ,83.23M ,58.67M ,149.68M ,-31.57M ,-34.10M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,13.98 ,11.23 ,9.00 ,-- ,-- ,-- 
Price/Book,1.61 ,1.28 ,1.06 ,1.99 ,0.58 ,0.61 
Enterprise Value/Revenue,7.62 ,5.15 ,3.63 ,-- ,-- ,-- 
Enterprise Value/EBITDA,1.09 ,-- ,-- ,-- ,1.85 ,1.37 
