,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,11.33B ,9.72B ,11.13B ,13.74B ,10.60B ,11.53B 
Enterprise Value,9.36B ,7.06B ,8.30B ,11.07B ,8.13B ,8.81B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,18.28 ,20.41 ,23.87 ,30.67 ,26.88 ,51.81 
PEG Ratio (5yr expected),44.96 ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.97 ,2.46 ,2.70 ,3.41 ,2.67 ,2.96 
Price/Book,1.31 ,1.03 ,1.12 ,1.38 ,1.07 ,1.12 
Enterprise Value/Revenue,2.21 ,1.68 ,2.00 ,2.70 ,2.01 ,2.23 
Enterprise Value/EBITDA,245.41 ,-- ,419.95 ,719.20 ,-273.46 ,-206.91 
